,,,,9/5/2026,9/4/2026,8/22/2026,8/21/2026,8/8/2026,8/7/2026,7/25/2026,7/24/2026,7/11/2026,7/10/2026,6/27/2026,6/26/2026,6/13/2026,6/12/2026,5/30/2026,5/29/2026,5/16/2026,5/15/2026,4/30/2026,4/29/2026,4/18/2026,4/17/2026,4/2/2026,4/1/2026,3/21/2026,3/20/2026,3/7/2026,3/6/2026,2/21/2026,2/20/2026,2/7/2026,2/6/2026,1/24/2026,1/23/2026,1/10/2026,1/9/2026,12/23/2025,12/22/2025,12/12/2025,11/29/2025,11/28/2025,11/15/2025,11/14/2025,10/28/2025,10/27/2025,10/18/2025,10/17/2025,9/30/2025,9/29/2025,9/20/2025,9/19/2025,9/6/2025,9/5/2025,8/23/2025,8/22/2025,8/9/2025,8/8/2025,7/26/2025,7/25/2025,7/12/2025,7/11/2025,6/28/2025,6/27/2025,6/14/2025,6/13/2025,5/31/2025,5/30/2025,5/17/2025,5/16/2025,5/3/2025,5/2/2025,4/15/2025,4/14/2025,4/5/2025,4/4/2025,3/22/2025,3/21/2025,3/8/2025,3/7/2025,2/22/2025,2/21/2025,2/8/2025,2/7/2025,1/25/2025,1/24/2025,1/11/2025,1/10/2025
,1 Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma müssen ,test 010301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test 010301,test 010301,,,,,test 010301,,,test 010301,,,,,,,,,,,,,,,,
,"mehr Aufgaben übernehmen, da keine neuen Mitarbeitende ",Webseite ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webseite ,Webseite ,,,,,Webseite ,,,Webseite ,,,,,,,,,,,,,,,,
,eingestellt werden können.,zusätzliche Bezahlung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zusätzliche Bezahlung ,zusätzliche Bezahlung ,,,,,zusätzliche Bezahlung ,,,,,,,,,,,,,,,,,,,
,,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-notizen ,T-notizen ,,,,,T-notizen ,,,,,,,,,,,,,,,,,,,
,,Maler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maler,Maler,,,,,Maler,,,,,,,,,,,,,,,,,,,
,2 Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma sollen im ,Farbe  weiß/grün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farbe  weiß/grün,Farbe  weiß/grün,,,,,Farbe  weiß/grün,,,,,,,,,,,,,,,,,,,
,Krankheitsfall ab dem ersten Tag eine ärztliche Krankmeldung ,Beschwerde ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beschwerde ,Beschwerde ,,,,,Beschwerde ,,,,,,,,,,,,,,,,,,,
,vorlegen. Andernfalls gelten die Tage als Fehlzeit.,Meier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meyer/Mayer???,Meier,,,,,Meier,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9⁰⁰ Hessen,  NRW, Berlin, Hamburg, Dresden, Bayern, Bremen, Thüringen, Frankfurt, ","9⁰⁰ Berlin, Mecklenburg-Vorpommern, ",,,,,Baden-Württemberg ,,,Nachmittag ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/2025,,,,,,,,,,,3/7/2025,,,2/8/2025,,,,,
,3 Alle Mitarbeiterinnen und Mitarbeiter sollen ein Jobticket für ,test 010321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test 010321,,,,,,,,,,,test 010321,,,test 010321,,,,,
,das gesamte Netz der öffentlichen Verkehrsmittel,Webseite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webseite,,,,,,,,,,,Webseite ,,,Webseite ,,,,,
,"bekommen, das auch privat genutzt werden kann. Dafür wird",300 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 €,,,,,,,,,,,T-notizen,,,T-notizen,,,,,
,eine monatliche Gebühr vom Gehalt abgezogen.,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,T-notizen ,,,,,,,,,,,Meier,,,Meier,,,,,
, ,Maler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maler,,,,,,,,,,,,,,,,,,,
,4 Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma sollen an,Farbe  weiß/grün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Farbe  weiß/grün,,,,,,,,,,,,,,,,,,,
,einem Workshop zum Zeitmanagement,Beschwerde ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beschwerde ,,,,,,,,,,,,,,,,,,,
,"teilnehmen, um Ihre Arbeitsabläufe effizienter gestalten zu können.",Meier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meier,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bremen,  Frankfurt, Baden-Württemberg, ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thema: ""Zusätzliche Aufgaben"".
Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma sollen ab sofort zusätzliche Aufgaben übernehmen, da es zu wenige Bewerbungen auf freigewordene Stellen gibt.
",test 010401,,,,,test 010401,,test 010401,test 010401,,test 010401,test 010401,,,,test 010401,,test 010401,,,,,,test 010401,,,test 010401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pflanzenlieferung,,,,,Pflanzenlieferung,,Pflanzenlieferung,Pflanzenlieferung,,Pflanzenlieferung,Pflanzenlieferung,,,,Pflanzenlieferung,,Pflanzenlieferung,,,,,,Pflanzenlieferung,,,Pflanzenlieferung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,T-notizen ,,T-notizen ,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T-notizen ,,,,,,,Meier,Meier,,T-notizen ,T-notizen ,,,,T-notizen ,,T-notizen ,,,,,,T-notizen ,,,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meyer,,,,,Wände streichen/Büro/ Geschäft vorbereitet/ ,,Wände streichen/Büro/ Geschäft vorbereitet/ ,Wände streichen/Büro/ Geschäft vorbereitet/ ,,,,,,,,,Meier,,,,,,,,,Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Büro vorbereitet/ ,,,,,,,Farbe  weiß/rot,Farbe  weiß/rot,,,,,,,,,Wände streichen/Büro/ Geschäft vorbereitet/ ,,,,,,Büro vorbereitet/ ,,,Büro vorbereitet/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thema: ""Ärztliche Krankmeldung"".
Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma sollen im Krankheitsfall ab dem ersten Tag eine ärztliche Krankmeldung vorlegen. Andernfalls gelten die Tage als Fehlzeit.
",Farbe  weiß/rot,,,,,Beschwerde ,,Beschwerde ,Beschwerde ,,,,,,,,,Farbe  weiß/rot,,,,,,Farbe  weiß/rot,,,Farbe  weiß/rot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Beschwerde ,,,,,,,,,,,,,,,,,Beschwerde ,,,,,,Beschwerde ,,,Beschwerde ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mündlich 010201,,,,,Mündlich 010201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thema: "" Jobticket "".
Alle Mitarbeiterinnen und Mitarbeiter sollen ein Jobticket für das gesamte Netz der öffentlichen Verkehrsmittel bekommen, das auch privat genutzt werden kann. Dafür wird eine monatliche Gebühr vom Gehalt abgezogen.
",test 010421,,test 010421,,test 010421,test 010421,test 010421,,,,test 010421,,,test 010421,,,,test 010421,,,,,,,,,,,,test 010421,,,,,test 010421,,,,,,,test 010421,,,,,,test 010421,test 010421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pflanzenlieferung,,Pflanzenlieferung,,Pflanzenlieferung,Pflanzenlieferung,Pflanzenlieferung,,,,Pflanzenlieferung,,,Pflanzenlieferung,,,,Pflanzenlieferung,,,,,,,,,,,,Pflanzenlieferung,,,,,Pflanzenlieferung,,,,,,,Pflanzenlieferung,,,,,,Pflanzenlieferung,Pflanzenlieferung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T-notizen ,,T-notizen ,T-notizen ,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T-notizen ,,,,,,Meier,,,,T-notizen ,,,T-notizen ,,,,T-notizen ,,,,,,,,,,,,T-notizen ,,,,,T-notizen ,,,,,,,,,,,,,T-notizen ,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meier,,,,,Wände streichen/Büro/ Geschäft vorbereitet/ ,Wände streichen/Büro/ Geschäft vorbereitet/ ,,,,,,,,,,,Meier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meier,Meier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thema: "" Workshop zum Zeitmanagement""                                                  Alle Mitarbeiterinnen und Mitarbeiter in Ihrer  Firma sollen an einem Workshop zum Zeitmanagement teilnehmen, um Ihre Arbeitsabläufe effizienter gestalten zu können.",Wände streichen,,,,,Farbe  weiß/rot,Farbe  weiß/rot,,,,,,,,,,,Wände streichen,,,,,,,,,,,,Wände streichen,,,,,Wände streichen,,,,,,,,,,,,,Wände streichen,Wände streichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Beschwerde ,,,,Beschwerde ,Beschwerde ,Beschwerde ,,,,,,,,,,,Beschwerde ,,,,,,,,,,,,Beschwerde ,,,,,Beschwerde ,,,,,,,,,,,,,Beschwerde ,Beschwerde ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mündlich 100101,,,,Mündlich 100101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
